189;-15;2009
-52;-28;2605
-46;-133;2247
-19;-22;2130
35;-58;1993
49;21;1709
37;-2;1782
178;-2;1461
-14;83;1875
-116;32;1986
-160;-46;2035
-136;17;1846
-200;27;1942
-25;-87;1788
-64;-132;2059
-34;-180;1901
50;-135;1597
-51;-89;2061
23;-52;1857
-89;-110;2031
-5;-139;2022
-136;-76;2204
-250;-217;2482
-67;-208;2129
-88;-39;2032
15;93;1752
-53;13;1626
-178;-152;2209
-75;-146;2129
-319;-322;2212
-287;-317;1806
-505;-286;2058
-304;-242;1770
-312;-289;1448
-443;-329;2092
-332;-279;2004
-173;-325;1486
-564;-213;2105
-330;-330;1804
-404;-347;1643
-330;-252;1252
-257;-203;1624
-246;-266;1711
-635;-149;1782
-26;-907;1790
209;-348;1374
-72;-193;1861
-214;-210;1908
-187;-243;1680
-208;-218;1582
-186;-409;1590
-177;-216;2081
-395;-241;1929
-353;-331;1684
51;-519;1725
26;-309;2215
-39;-217;1802
-165;-233;1547
-46;-241;1562
-197;-152;1833
-132;-25;1522
-403;-63;1592
-55;-41;1397
34;-139;1611
-93;-96;1887
-122;-96;1861
-168;-72;1957
-210;-193;2073
-46;-135;1581
-243;-234;2152
-190;-431;1922
-232;-333;1779
-93;-225;1805
-269;-84;1889
-519;-50;2062
-227;-156;1941
-189;-384;1776
-369;-393;1928
-564;-281;1968
-156;-140;1072
-413;-218;1743
-272;-625;1972
-198;-476;1823
-51;-411;812
-234;-470;1225
-264;-385;1561
-322;-303;1949
-340;-498;1729
-75;-461;742
-31;-537;380
-371;-633;1638
-211;-211;1082
-210;-182;1091
-364;-294;1492
-426;-411;1786
-159;-301;1320
-327;-340;1139
-289;-130;503
1137;-307;1134
-11;-352;2364
445;-573;939
434;-593;860
-136;-408;1628
-127;-222;1706
32;-357;1449
94;-230;1023
-80;-154;1411
-268;-260;1724
-171;-146;1694
-257;-228;1935
-360;-184;1801
-454;-113;1934
-273;-182;2003
-200;-137;1962
-224;-128;1739
-611;-132;2136
-464;-238;1707
-54;-324;1349
306;-366;1668
125;-263;1941
-343;-188;2218
-312;-264;1969
-595;-149;1614
-386;-390;1577
-241;-183;1850
-261;-159;1961
-265;-240;1827
-298;-371;1547
-469;-188;1714
-22;-270;1431
-400;-337;1727
204;-423;1464
8;-250;1704
-289;-281;1863
259;-346;638
-269;-189;1349
-384;-393;1877
-331;-465;1672
-291;-334;1834
-252;-182;1566
-55;-196;1462
-221;-193;1963
-515;-314;2566
-368;-344;1824
-305;-183;1955
-187;-313;1656
-341;-405;2040
-365;-329;1809
