1706;-1392;912
1680;-1436;863
1646;-1468;892
1630;-1498;921
1654;-1522;877
1610;-1332;902
1498;-1160;969
1346;-1058;942
1160;-938;858
956;-844;980
1006;-1010;944
990;-998;901
760;-994;854
208;-866;890
-244;-862;890
-514;-1066;908
-904;-1424;994
-1474;-1830;1224
-1766;-2214;1455
-1682;-2414;1361
-1594;-2508;1368
-1526;-2310;1209
-1478;-2326;1132
-1324;-2146;1049
-1424;-2402;1127
-1556;-2510;1256
-1556;-2502;1174
-1564;-2452;1283
-1626;-2402;1270
-1462;-2430;1216
-1336;-2428;1106
-1306;-2422;1159
-1408;-2322;1136
-1346;-2386;1088
-946;-2770;929
-338;-3296;908
-420;-3416;962
-938;-3304;1081
-1068;-3162;1177
-936;-3252;1079
-760;-3308;991
-780;-3228;1081
-818;-3208;1079
-730;-3318;1014
-696;-3264;1101
-574;-3254;970
-486;-3364;1001
-424;-3428;1022
-408;-3436;1096
-110;-3596;989
76;-3666;1061
202;-3572;962
456;-3618;913
700;-3510;868
1172;-3336;941
1656;-2956;894
1838;-2552;926
2006;-2082;951
1928;-2034;983
1906;-1942;983
1836;-1944;998
1802;-1912;1013
1840;-1718;1042
1716;-1712;985
1442;-1650;787
1366;-1706;820
1564;-1752;864
1694;-1744;935
1652;-1662;817
1506;-1518;907
1550;-1372;898
1510;-1232;911
1352;-986;901
1056;-830;915
972;-652;977
850;-564;1029
682;-646;928
548;-826;904
330;-988;714
-80;-1096;741
-686;-1146;927
-1034;-1488;946
-1188;-2002;977
-1288;-2350;1016
-1178;-2452;999
-1010;-2634;1063
-950;-2772;924
-922;-2602;971
-1124;-2490;975
-1250;-2570;1061
-1190;-2836;1152
-1170;-2996;1108
-1118;-3040;1060
-1138;-2940;1115
-1244;-2902;1137
-1192;-2842;1117
-1240;-2792;1074
-1332;-2888;1163
-1344;-2962;1209
-1408;-3052;1274
-1544;-3266;1439
-1702;-3320;1699
-1808;-3140;1665
-1446;-3172;1363
-1010;-3418;1284
-720;-3704;1318
-652;-3702;1288
-762;-3658;1353
-710;-3144;1045
-606;-2670;865
-766;-2678;921
-1066;-2922;1078
-904;-2970;1067
-790;-3008;974
-802;-3084;1022
-902;-3002;1080
-1100;-2918;1201
-976;-2980;1117
-846;-3160;1058
-894;-3030;1097
-1004;-2878;1009
-906;-3126;1080
-786;-3008;997
-650;-3144;1035
-516;-3536;1085
-600;-3476;1142
-508;-3212;1043
-454;-3276;1016
-456;-3012;806
-336;-2960;846
-234;-2758;794
-42;-1918;698
136;-666;1011
320;572;2089
600;982;3766
954;724;4868
1208;146;5659
1200;160;5526
954;462;5372
830;264;5638
772;28;5907
730;32;5942
752;-150;6024
840;-402;6254
936;-370;6191
778;-242;6235
476;-94;6055
192;616;5151
-356;900;3741
-912;448;2520
-1088;-466;1517
-856;-1460;928
-544;-1978;814
-262;-2198;684
-120;-2426;721
-372;-2672;835
-592;-2834;915
-712;-2830;989
-654;-2844;942
-508;-3038;923
-406;-2868;832
-528;-3012;924
-778;-3064;1054
-986;-2774;1049
-1154;-2464;977
-1104;-2490;1070
-990;-2234;979
-800;-2438;887
-696;-2774;910
-598;-3134;960
-518;-3272;939
-438;-3248;879
-512;-3476;1077
-698;-3752;1269
-738;-3950;1360
-646;-3930;1427
-532;-4102;1405
-572;-4200;1519
-634;-4302;1725
-676;-4390;1826
-732;-4598;2184
-842;-4868;2799
-1038;-4910;3555
-1030;-4928;4254
-922;-4680;5200
-622;-4272;5915
-200;-3718;6446
-130;-3242;6638
-272;-2610;6833
-382;-2100;6882
-668;-1910;6684
-930;-1548;6637
-986;-1350;6536
-1004;-1242;6551
-1002;-1276;6491
-958;-1292;6596
-860;-1710;6694
-832;-2598;6688
-1034;-3778;6180
-958;-4492;5397
